min_samples_split,max_depth,time_taken,memory_used,accuracy,precision,recall,f1_score
3,3,0.8634424209594727,0.0,0.9,1.0,1.0,1.0
3,3,0.8634424209594727,0.0,0.9,0.8571428571428571,0.75,0.8
3,3,0.8634424209594727,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
3,3,0.8634424209594727,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
3,3,0.8634424209594727,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
3,3,0.8934786319732666,0.04296875,0.9,1.0,1.0,1.0
3,3,0.8934786319732666,0.04296875,0.9,0.8571428571428571,0.75,0.8
3,3,0.8934786319732666,0.04296875,0.9,0.7777777777777778,0.875,0.8235294117647058
3,3,0.8934786319732666,0.04296875,0.9,0.8783068783068783,0.875,0.8745098039215686
3,3,0.8934786319732666,0.04296875,0.9,0.9026455026455026,0.9,0.8996078431372548
3,10,0.00672149658203125,0.0,0.9,1.0,1.0,1.0
3,10,0.00672149658203125,0.0,0.9,0.8571428571428571,0.75,0.8
3,10,0.00672149658203125,0.0,0.9,0.7777777777777778,0.875,0.8235294117647058
3,10,0.00672149658203125,0.0,0.9,0.8783068783068783,0.875,0.8745098039215686
3,10,0.00672149658203125,0.0,0.9,0.9026455026455026,0.9,0.8996078431372548
3,10,0.6531720161437988,0.0078125,0.8833333333333333,1.0,1.0,1.0
3,10,0.6531720161437988,0.0078125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
3,10,0.6531720161437988,0.0078125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
3,10,0.6531720161437988,0.0078125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
3,10,0.6531720161437988,0.0078125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
3,10,0.5682022571563721,0.0,0.8833333333333333,Iris-setosa,1.0,1.0,1.0
3,10,0.5682022571563721,0.0,0.8833333333333333,Iris-versicolor,0.9285714285714286,0.6842105263157895,0.7878787878787878
3,10,0.5682022571563721,0.0,0.8833333333333333,Iris-virginica,0.7391304347826086,0.9444444444444444,0.8292682926829268
3,10,0.5682022571563721,0.0,0.8833333333333333,macro avg,0.8892339544513458,0.8762183235867447,0.8723823601872382
3,10,0.5682022571563721,0.0,0.8833333333333333,weighted avg,0.8991200828157349,0.8833333333333333,0.8816087706331608
3,10,0.5444462299346924,0.0,0.8833333333333333,1.0,1.0,1.0
3,10,0.5444462299346924,0.0,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
3,10,0.5444462299346924,0.0,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
3,10,0.5444462299346924,0.0,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
3,10,0.5444462299346924,0.0,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,1.5417430400848389,0.0,0.8833333333333333,1.0,1.0,1.0
4,10,1.5417430400848389,0.0,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,1.5417430400848389,0.0,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,1.5417430400848389,0.0,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,1.5417430400848389,0.0,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.8836674690246582,0.48828125,0.8833333333333333,1.0,1.0,1.0
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.8836674690246582,0.48828125,0.8833333333333333,1.0,1.0,1.0
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.8836674690246582,0.48828125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.8076426982879639,0.0625,0.8833333333333333,1.0,1.0,1.0
4,10,0.8076426982879639,0.0625,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.8076426982879639,0.0625,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.8076426982879639,0.0625,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.8076426982879639,0.0625,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.26757121086120605,0.11328125,0.8833333333333333,1.0,1.0,1.0
4,10,0.26757121086120605,0.11328125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.26757121086120605,0.11328125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.26757121086120605,0.11328125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.26757121086120605,0.11328125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.30373215675354004,0.11328125,0.8833333333333333,1.0,1.0,1.0
4,10,0.30373215675354004,0.11328125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.30373215675354004,0.11328125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.30373215675354004,0.11328125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.30373215675354004,0.11328125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.3016085624694824,0.11328125,0.8833333333333333,1.0,1.0,1.0
4,10,0.3016085624694824,0.11328125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.3016085624694824,0.11328125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.3016085624694824,0.11328125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.3016085624694824,0.11328125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
4,10,0.28595709800720215,0.3203125,0.8833333333333333,1.0,1.0,1.0
4,10,0.28595709800720215,0.3203125,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878
4,10,0.28595709800720215,0.3203125,0.8833333333333333,0.7391304347826086,0.9444444444444444,0.8292682926829268
4,10,0.28595709800720215,0.3203125,0.8833333333333333,0.8892339544513458,0.8762183235867447,0.8723823601872382
4,10,0.28595709800720215,0.3203125,0.8833333333333333,0.8991200828157349,0.8833333333333333,0.8816087706331608
2,10,0.690260648727417,0.22265625,0.9,1.0,1.0,1.0
2,10,0.690260648727417,0.22265625,0.9,0.8571428571428571,0.75,0.8
2,10,0.690260648727417,0.22265625,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.690260648727417,0.22265625,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.690260648727417,0.22265625,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.09437799453735352,0.43359375,0.9,1.0,1.0,1.0
2,10,0.09437799453735352,0.43359375,0.9,0.8571428571428571,0.75,0.8
2,10,0.09437799453735352,0.43359375,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.09437799453735352,0.43359375,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.09437799453735352,0.43359375,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.05217409133911133,0.390625,0.7333333333333333,1.0,1.0,1.0
2,10,0.05217409133911133,0.390625,0.7333333333333333,0.5,1.0,0.6666666666666666
2,10,0.05217409133911133,0.390625,0.7333333333333333,0.0,0.0,0.0
2,10,0.05217409133911133,0.390625,0.7333333333333333,0.5,0.6666666666666666,0.5555555555555555
2,10,0.05217409133911133,0.390625,0.7333333333333333,0.6,0.7333333333333333,0.6444444444444444
2,10,0.05776715278625488,0.07421875,0.9,1.0,1.0,1.0
2,10,0.05776715278625488,0.07421875,0.9,0.8571428571428571,0.75,0.8
2,10,0.05776715278625488,0.07421875,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.05776715278625488,0.07421875,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.05776715278625488,0.07421875,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.06361603736877441,0.0234375,0.9333333333333333,1.0,1.0,1.0
2,10,0.06361603736877441,0.0234375,0.9333333333333333,0.875,0.875,0.875
2,10,0.06361603736877441,0.0234375,0.9333333333333333,0.875,0.875,0.875
2,10,0.06361603736877441,0.0234375,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666
2,10,0.06361603736877441,0.0234375,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
2,10,0.0654902458190918,0.0078125,0.9,1.0,1.0,1.0
2,10,0.0654902458190918,0.0078125,0.9,0.8571428571428571,0.75,0.8
2,10,0.0654902458190918,0.0078125,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.0654902458190918,0.0078125,0.9,0.8783068783068783,0.875,0.8745098039215686
2,10,0.0654902458190918,0.0078125,0.9,0.9026455026455026,0.9,0.8996078431372548
2,10,0.07196998596191406,0.01953125,0.9,1.0,1.0,1.0
2,10,0.07196998596191406,0.01953125,0.9,0.8571428571428571,0.75,0.8
2,10,0.07196998596191406,0.01953125,0.9,0.7777777777777778,0.875,0.8235294117647058
2,10,0.07196998596191406,0.01953125,0.9,0.8783068783068783,0.875,0.8745098039215686
